Offset,Endfire_Amplitude,Endfire_Phase,Endfire_Real,Endfire_Imag,Broadside_Amplitude,Broadside_Phase,Broadside_Real,Broadside_Imag,Oblique_Amplitude,Oblique_Phase,Oblique_Real,Oblique_Imag
1,17.8948272248616,-0.67945816893702,13.9206241743405,-11.2446015493841,63.7222022680785,-0.266717735745841,61.4690607947609,-16.795047689837,40.2176159450026,-0.356076027732243,37.6948424845507,-14.0198246196106
1.04,18.3033921362975,-0.981433772560772,10.1735969697085,-15.2155212987598,58.9675004528131,-0.454366064870621,52.9846247327562,-25.8804105759843,37.6757102961288,-0.576854662985758,31.5791108512324,-20.547965937372
1.08,18.7751011206995,-1.26090389580267,5.72558336286479,-17.8807750740111,54.5168112728059,-0.642951855030211,43.631408576941,-32.6861269799097,35.3310212019016,-0.797505888007848,24.6784959699029,-25.2834510269604
1.12,19.2323035350104,-1.52221557700468,0.93395225629943,-19.2096130217589,50.3446317198771,-0.832451514031695,33.8851936798408,-37.2340649444798,33.1596958146433,-1.01805525296904,17.4095729680701,-28.2218389831193
1.16,19.6316218280597,-1.76928049459502,-3.87103164048151,-19.2461863660919,46.4286924045316,-1.02285916429452,24.1859825942992,-39.6315748405595,31.1419652437169,-1.23855054880716,10.1574754769088,-29.4388806033257
1.2,19.9488297372436,-2.00527296005359,-8.39717496979658,-18.0953933478152,42.7494688029085,-1.21418649130637,14.9238126600549,-40.0599163581058,29.2601992753445,-1.45903625162553,3.26331884512914,-29.0776548529605
1.24,20.178490533518,-2.23250642218811,-12.3990148654925,-15.9196705549007,39.2897796577796,-1.40646354538723,6.42757762793111,-38.7604570586286,27.5026108693065,-1.67957198739893,-2.98571861878069,-27.3400638067647
1.28,20.3135784203911,-2.45292129529257,-15.6839323733643,-12.9095210425915,36.0344464077291,-1.59974043697104,-1.04283936428146,-36.0193533252862,25.8544949654353,-1.90020017719616,-8.36338586882288,-24.4644371839389
1.32,20.3573943380763,-2.66787486305474,-18.1156053820849,-9.28699875506168,32.970017273709,-1.79409024693175,-7.30097827051222,-32.1514813861224,24.3061224847814,-2.1209793357215,-12.7082918262986,-20.719240070592
1.36,20.3141863945634,-2.87842958901388,-19.6148092350053,-5.28445148973978,30.0845321428454,-1.98961331542454,-12.2347767309844,-27.4843466831006,22.8483602250649,-2.34197020675574,-15.9247929829949,-16.3843990864202
1.4,20.1895688102192,-3.08539004948542,-20.157690477124,-1.1341090648787,27.3673290510146,-2.18644345645224,-15.8042756504469,-22.3426849449926,21.4733722592801,-2.56323554772597,-17.9809830637855,-11.7383970049356
1.44,19.9894982101581,2.9938551466392,-19.7717456035744,2.9424674138297,24.8088854336173,-2.38475676224675,-18.0363624043682,-17.0343895598475,20.1744597257875,-2.78482043049243,-18.9040540039713,-7.0459610730089
1.48,19.7208555487848,2.79227266466047,-18.5298276897957,6.74963920239569,22.4006844335578,-2.58478438076849,-19.016975793259,-11.8382977986887,18.9450316580941,-3.00688500942645,-18.7734017415273,-2.5443292981465
1.52,19.3891404889285,2.59286271339342,-16.5425757587048,10.1134542153963,20.1351228583005,-2.7868302121741,-18.8812893363004,-6.99428949341968,17.7804626404374,3.05376652933781,-17.7119325475026,1.5595823609883
1.56,19.0008822752036,2.39522690927786,-13.9497120705603,12.901126322326,18.0054297203882,-2.99129765102573,-17.8024536159164,-2.69594967849614,16.6759231836894,2.83061939589195,-15.8760828432383,5.10258832191492
1.6,18.5617925527562,2.19913695359397,-10.910679728514,15.0165645416437,16.0056302689877,3.08445696227924,-15.9795122875561,0.913995273170853,15.6274211138187,2.60675783095419,-13.445096008035,7.96527990740728
1.64,18.0773496171873,2.00440073974568,-7.59509676214506,16.4044224023791,14.1305445413966,2.8733231977131,-13.6251097085689,3.74548721341489,14.6314389260284,2.38205997622339,-10.610103235357,10.074954807897
1.68,17.5526678843258,1.81086487754015,-4.17348400803013,17.0492868206315,12.375840611463,2.65745751232737,-10.9535820608871,5.76024920257355,13.6848735968521,2.15638844418814,-7.5635330344586,11.4047680116025
1.72,16.9927189677824,1.61840437024046,-0.808684538016838,16.9734653867736,10.7381753088374,2.4353939221212,-8.1699708723982,6.9684994731642,12.7850883291187,1.92958232492594,-4.48932770520752,11.9709824299689
1.76,16.4019722811542,1.42692352388969,2.35166508720774,16.2325095419457,9.21547682798015,2.20498893516403,-5.46042172230536,7.42353068166455,11.9297171684551,1.70146248362754,-1.55437831754881,11.8280201118051
1.8,15.7849132527495,1.23635100114279,5.18132325705417,14.9103110531852,7.80748423410625,1.96301598746244,-2.98433637387131,7.21460646698115,11.1168647405534,1.47182157149134,1.09849344159143,11.0624587600832
1.84,15.144953433757,1.04661737849285,7.58008493752938,13.1115188613108,6.51677394797735,1.70447153660997,-0.868539059147387,6.45863627956953,10.3445132838108,1.24041765969637,3.355772939191,9.78507757044017
1.88,14.4863986980573,0.85769424491263,9.47675766615149,10.9565875789917,5.35072042418415,1.42140202562735,0.796396988080788,5.29112094883091,9.61152613993811,1.00697672277594,5.13657732711614,8.12385426391131
1.92,13.8126737948384,0.669560479066732,10.8304419189156,8.57271749234809,4.32526847247736,1.10111328108094,1.95763241139017,3.85689288169653,8.91669864815425,0.7711843360919,6.39403716515289,6.21480518702231
1.96,13.1267935219444,0.482177652852176,11.6301713747784,6.08702077875914,3.47162994465295,0.724599516557101,2.59943477575205,2.30112001408487,8.25897386422473,0.532652078533322,7.11480307526524,4.19407039642201
2,12.4319168557425,0.295508073583955,11.8930467371282,3.62049665330335,2.84432373951008,0.270859119624712,2.74062363964845,0.761025361562069,7.63776871643315,0.290918856866126,7.31683518838831,2.19076100743271
2.04,11.731765487428,0.109841388242948,11.6610639743622,1.28604371536868,2.51354324739129,-0.257991360287898,2.43035605183231,-0.641302672556731,7.05308105310936,0.0457222690383762,7.04571001309724,0.322370521405975
2.08,11.0280162847772,-0.0751490114223994,10.9968912710311,-0.827964703613822,2.50869935807716,-0.802906783578976,1.74258916068442,-1.80470371149448,6.50433133869215,-0.203785661215787,6.36974021585775,-1.31633420755415
2.12,10.3234407685592,-0.259087751772041,9.97888661359359,-2.6448537303589,2.76250836234315,-1.28847182815976,0.769604088533369,-2.65314191081604,5.9916360492694,-0.457956326899896,5.37424535106348,-2.64899782058747
2.16,9.62064132876854,-0.442099518293267,8.69566863683425,-4.11607659491249,3.16171526224677,-1.69286848454865,-0.384999553658183,-3.13818717466106,5.51569495731513,-0.717631235116523,4.15533454158804,-3.62713188478677
2.2,8.92183907043178,-0.623988885628721,7.24055690720317,-5.2128253444975,3.61927879593576,-2.03284925938873,-1.61342637085241,-3.23975837811221,5.07717366407871,-0.983443123030895,2.81356526817538,-4.22629186130485
2.24,8.22900129662447,-0.804566370198792,5.70618488433845,-5.92924248159869,4.0855335222012,-2.32941949257295,-2.81053171489953,-2.96521426554199,4.67696932062949,-1.25606067050248,1.44782658471946,-4.44722837357034
2.28,7.54470035958873,-0.983667358558234,4.17956086657344,-6.28122396341559,4.53462568243726,-2.59759513701099,-3.88003689574229,-2.34694349473908,4.31668241520794,-1.53609559345721,0.149761985415572,-4.31408372907734
2.32,6.87141174322142,-1.16098631415745,2.73781148367407,-6.30243505517857,4.95334620084496,-2.84689866851167,-4.73981273754959,-1.43868474600515,3.99790397573522,-1.82387046691285,-1.00100062693776,-3.87055990059186
2.36,6.2076655045177,-1.33589900145965,1.4447915100756,-6.03719210464537,5.33506315161015,-3.08329194264868,-5.32599885196292,-0.310861802989823,3.72026742469418,-2.11955686290205,-1.94060367094366,-3.1740269538176
2.4,5.55897248181496,-1.5080302046828,0.348686093859062,-5.54802605090543,5.67666715692615,2.97260119394105,-5.59580242508253,0.954748778456684,3.48677594257884,-2.42254136853473,-2.62355816561173,-2.29663863622437
2.44,4.92403338367881,-1.67646119601996,-0.519329691658062,-4.89657037475677,5.97701636095892,2.75190276120668,-5.52890100352548,2.27067793233331,3.296832027164,-2.73199008596214,-3.02411534759177,-1.31294622121173
2.48,4.30949669976984,-1.83980741137167,-1.1453703555603,-4.1545022029036,6.2361115039596,2.53609646177221,-5.12745423696656,3.54940836445048,3.1509707600176,-3.04542745285089,-3.13641229626343,-0.302546919226561
