Offset,Endfire_Amplitude,Endfire_Phase,Endfire_Real,Endfire_Imag,Broadside_Amplitude,Broadside_Phase,Broadside_Real,Broadside_Imag,Oblique_Amplitude,Oblique_Phase,Oblique_Real,Oblique_Imag
0.1,1.81994151658325e-08,2.63984701787059,-1.59562339261385e-08,8.75313151236058e-09,1.87330023116757e-08,2.62787681162631,-1.63150306179509e-08,9.20571298404257e-09,1.84658780655064e-08,2.63377544295927,-1.61356322720447e-08,8.97942224820157e-09
0.119148936170213,1.7923246800742e-08,2.63611389330735,-1.56818147793194e-08,8.67890898140021e-09,1.86699933800942e-08,2.61917649680457,-1.61797169891217e-08,9.31586877133258e-09,1.82959642612902e-08,2.62747237290237,-1.59307658842205e-08,8.9973888763664e-09
0.138297872340426,1.76074824724341e-08,2.63170577974543,-1.53678059070067e-08,8.59383387212277e-09,1.85969543489116e-08,2.60897529494932,-1.60209219853395e-08,9.44334526506181e-09,1.81010501762097e-08,2.62002991045836,-1.56943639461731e-08,9.01858956859229e-09
0.157446808510638,1.72558425970702e-08,2.62661230210429,-1.5017801221217e-08,8.49880875269445e-09,1.8514324550675e-08,2.59728293530945,-1.58387258561427e-08,9.58722988259295e-09,1.78831628689736e-08,2.61143164234137,-1.54282635386798e-08,9.0430193176437e-09
0.176595744680851,1.68722961939614e-08,2.62082191705087,-1.46356364174009e-08,8.39479157063548e-09,1.84225855448796e-08,2.58411077731212,-1.5633222161688e-08,9.74648772644346e-09,1.76444737397826e-08,2.60166000832233,-1.51344292895445e-08,9.07063964853947e-09
0.195744680851064,1.64609651489408e-08,2.61432205723804,-1.4225297102079e-08,8.2827710334299e-09,1.83222532404032e-08,2.56947185158673,-1.5404519242792e-08,9.91996727332886e-09,1.73872489090075e-08,2.59069676199563,-1.48149081724355e-08,9.10136915337938e-09
0.214893617021277,1.60260321249607e-08,2.60709928683524,-1.37908304821993e-08,8.16374303132539e-09,1.82138699387095e-08,2.5533808882055,-1.51527423003917e-08,1.01064068254818e-08,1.71138013107209e-08,2.57852344565772,-1.44717863912955e-08,9.13507492840361e-09
0.234042553191489,1.55716552372945e-08,2.59913946577684,-1.33362636159819e-08,8.03868892259173e-09,1.80979965134362e-08,2.53585432871738,-1.48780361255133e-08,1.03044417048315e-08,1.68264460828605e-08,2.56512186622834,-1.41071498707476e-08,9.17156531371161e-09
0.253191489361702,1.51018919278776e-08,2.59042791998047,-1.286553056546e-08,7.9085563202464e-09,1.79752049143964e-08,2.51691031944074,-1.45805684846293e-08,1.05126121577645e-08,1.65274604912746e-08,2.55047455954916,-1.37230495250446e-08,9.21058423900544e-09
0.272340425531915,1.46206337351832e-08,2.5809496146491,-1.23824100779212e-08,7.77424282361784e-09,1.78460711513398e-08,2.49656868444942,-1.42605341281577e-08,1.07293719256223e-08,1.62190492535516e-08,2.53456523124345,-1.33214721030394e-08,9.25180737462007e-09
